id,label,kind,parent_id,node_kind,status,host,runs,sort_order,schedule
n-core-banking,"Core Banking System",folder,,,,,,1,
n-cards-retail,"Cards & Retail Banking",folder,,,,,,2,
n-risk-compliance,"Risk, Treasury & AML",folder,,,,,,3,
n-gl-reporting,"GL & EOD Financial Reporting",folder,,,,,,4,
n-payments,"Payment Clearing & SWIFT",folder,n-core-banking,,,,,1,
n-accounts,"Accounts & Deposits Batch",folder,n-core-banking,,,,,2,
n-cards-batch,"Credit Card & ATM Clearing",folder,n-cards-retail,,,,,1,
n-loans,"Loan & Mortgage Processing",folder,n-cards-retail,,,,,2,
n-aml-fraud,"AML Compliance & Fraud Monitoring",folder,n-risk-compliance,,,,,1,
n-treasury-risk,"Treasury & Liquidity Risk",folder,n-risk-compliance,,,,,2,
n-gl-accounting,"General Ledger Accounting",folder,n-gl-reporting,,,,,1,
n-eod-reporting,"Regulatory & EOD Reporting",folder,n-gl-reporting,,,,,2,
n-job-001,"SWIFT Inbound Message Parser",item,n-payments,Source,Completed,pay-node-01,24500,1,DAILY_PROD_RUN
n-job-002,"ISO20022 XML Message Validator",item,n-payments,Process,Completed,pay-node-01,24498,2,DAILY_PROD_RUN
n-job-003,"Sanction Screening & OFAC Matcher",item,n-payments,Service,Executing,sec-node-02,18200,3,DAILY_PROD_RUN
n-job-004,"FEDWire Clearing Gateway",item,n-payments,Service,Wait for Event,pay-node-02,12100,4,DAILY_PROD_RUN
n-job-005,"ACH Direct Debit Batch Worker",item,n-payments,Process,Completed,pay-node-03,9400,5,DAILY_PROD_RUN
n-job-006,"SEPA Credit Transfer Engine",item,n-payments,Process,Completed,pay-node-03,15300,6,DAILY_PROD_RUN
n-job-007,"Realtime Gross Settlement (RTGS)",item,n-payments,Process,Executing,pay-node-04,31200,7,DAILY_PROD_RUN
n-job-008,"Cross-Border FX Liquidity Hub",item,n-payments,Process,Wait for Event,fx-node-01,8100,8,DAILY_PROD_RUN
n-job-009,"High-Value Wire Router",item,n-payments,Service,Completed,pay-node-02,6700,9,DAILY_PROD_RUN
n-job-010,"Payment Status & Callback Notifier",item,n-payments,Sink,Completed,pay-edge-01,42000,10,DAILY_PROD_RUN
n-job-011,"Nostro/Vostro Reconciler",item,n-payments,Process,Wait for Event,pay-node-05,3400,11,END_OF_MONTH_RUN
n-job-012,"CHIPS Netting Batch Engine",item,n-payments,Process,Completed,pay-node-04,18900,12,DAILY_PROD_RUN
n-job-013,"Instant Payment Confirmation Service",item,n-payments,Service,Completed,pay-edge-02,65000,13,DAILY_PROD_RUN
n-job-014,"Standing Order Execution Job",item,n-payments,Process,Executing,pay-node-05,14200,14,DAILY_PROD_RUN
n-job-015,"Core Banking Deposit Ingest",item,n-accounts,Source,Completed,core-db-01,89000,15,DAILY_PROD_RUN
n-job-016,"Daily Interest Calculation Engine",item,n-accounts,Process,Completed,core-app-01,88950,16,DAILY_PROD_RUN
n-job-017,"Overdraft Limit & Protection Check",item,n-accounts,Process,Executing,core-app-02,88900,17,DAILY_PROD_RUN
n-job-018,"Dormant Account Sweeper",item,n-accounts,Process,Wait for Event,core-app-02,30,18,END_OF_MONTH_RUN
n-job-019,"EOD Account Balance Snapshot",item,n-accounts,Store,Completed,core-db-02,365,19,DAILY_PROD_RUN
n-job-020,"Monthly Account Fee Deductor",item,n-accounts,Process,Wait for Event,core-app-03,12,20,END_OF_MONTH_RUN
n-job-021,"Multi-Currency Revaluation Job",item,n-accounts,Process,Completed,fx-node-01,365,21,DAILY_PROD_RUN
n-job-022,"Customer Statement PDF Generator",item,n-accounts,Sink,Wait for Event,doc-node-01,12,22,END_OF_MONTH_RUN
n-job-023,"Escrow Account Balance Sync",item,n-accounts,Process,Completed,core-app-03,365,23,DAILY_PROD_RUN
n-job-024,"Tax Withholding (1099/FATCA)",item,n-accounts,Process,Wait for Event,tax-node-01,4,24,END_OF_MONTH_RUN
n-job-025,"Certificate of Deposit Matures Sweeper",item,n-accounts,Process,Completed,core-app-01,1200,25,DAILY_PROD_RUN
n-job-026,"Sweep Account Re-Balancing Job",item,n-accounts,Process,Executing,core-app-02,3650,26,DAILY_PROD_RUN
n-job-027,"Passbook & E-Statement Archiver",item,n-accounts,Sink,Completed,doc-node-02,12,27,END_OF_MONTH_RUN
n-job-028,"Visa Authorization Feed Ingest",item,n-cards-batch,Source,Completed,card-net-01,145000,28,DAILY_PROD_RUN
n-job-029,"Mastercard Clearing File Sync",item,n-cards-batch,Source,Completed,card-net-02,138000,29,DAILY_PROD_RUN
n-job-030,"Interchange Fee & Rebate Calc",item,n-cards-batch,Process,Executing,card-app-01,137500,30,DAILY_PROD_RUN
n-job-031,"ATM Network Settlement Batch",item,n-cards-batch,Process,Completed,atm-node-01,52000,31,DAILY_PROD_RUN
n-job-032,"POS Merchant Settlement Worker",item,n-cards-batch,Process,Executing,card-app-02,98000,32,DAILY_PROD_RUN
n-job-033,"Card Rewards Point Accumulator",item,n-cards-batch,Process,Completed,card-app-03,120000,33,DAILY_PROD_RUN
n-job-034,"Chargeback & Dispute Engine",item,n-cards-batch,Service,Wait for Event,card-app-03,4500,34,DAILY_PROD_RUN
n-job-035,"Credit Card Billing Cycle Batch",item,n-cards-batch,Process,Wait for Event,card-app-01,12,35,END_OF_MONTH_RUN
n-job-036,"Stolen Card Lock & Blacklist Sync",item,n-cards-batch,Service,Completed,sec-node-01,500000,36,DAILY_PROD_RUN
n-job-037,"Card Limit Restorer",item,n-cards-batch,Process,Completed,card-app-02,85000,37,DAILY_PROD_RUN
n-job-038,"Amex Transaction Settlement Processor",item,n-cards-batch,Source,Completed,card-net-03,67000,38,DAILY_PROD_RUN
n-job-039,"EMV Chip Tokenization Service",item,n-cards-batch,Service,Completed,card-net-01,340000,39,DAILY_PROD_RUN
n-job-040,"Card Late Fee Penalty Calculator",item,n-cards-batch,Process,Wait for Event,card-app-01,12,40,END_OF_MONTH_RUN
n-job-041,"Mortgage Loan EMI Scheduler",item,n-loans,Process,Completed,loan-node-01,28000,41,DAILY_PROD_RUN
